question1,question2,is_duplicate
월급에 비해 근무시간이 너무 긴 거 같애,연봉대비 근무시간이 너무 긴 거 같애,1
꿈꾸니까 진짜 힘드네ㅜ,꿈에 나온 헤어진 여자친구,1
모닝콜 해달라고 하는대 좋아하는 걸까?,모닝콜 해달라고 하는대 좋아하는 걸까?,1
좋아하는데도 헤어지자네요.,좋아하는데도 헤어지자네요.,1
다리 떨면 진짜 복나가나?,다리 떨면 안 좋아?,1
텔레비전 볼 게 없어,티비 볼 거 없어,1
절약해야 잘 살지,절약해서 부자돼야지,1
저 사람이 왜 자꾸 볼까?,저는 전 여친 관련해서 거의 모든걸 다 지웠어,0
정말 힘드네.,정말로 끝났네 이젠,0
사랑없이 결혼 가능해?,사랑없이 결혼 가능해?,1
오늘따라 너무 힘들게 한다.,사람들은 왜 이렇게 날 힘들게 할까,1
썸남이 데리러 온다고 하는데 뭐라고 반응해?,썸남이 데리러 온다고 하는데,1
이별 후 감정,이별 후 만남,0
잘 지내고 있네여.아무일 없다는듯이.,잘못인줄 모르는 여자,0
안경 벗으니까 완전 예뻤어,안경 벗고 완전 훈녀,1
내 생각대로 살거야,남이 걷지 않는 길을 가려고 해,1
장거리하다가 결혼 가능할까?,장거리하다가 결혼 가능할까?,1
한약 먹고 싶지 않다.,한약 먹기 싫어,1
결국 이별 종지부를 찍었네.,결국 핸드폰 번호 바꿨어,0
사랑하면 더 잘해줘야하는거 아니야?,사랑하면 더 잘해줘야하는거 아니야?,1
있잖아,음,0
썸은 연락만?,썸은 연락만 주고 받는 사이인건가?,1
다시 만날 수 있을까?,다시 사랑한다고 했는데.,0
웃게 만드는 너란 녀석,나를 미소짓게 만든 너,1
교양 듣는데 심남 있음. ,교양 시간에 심남 발견,1
우산 또 안가지고 왔다,우산 또 놓고 왔어,1
오랜만이네,오랜만이네,1
화를 한 번 내는게 나을텐데,화를 못내,1
셀프 신행준비 팁 알려줘,신행준비 혼자 할 수 있을까?,1
연인과 어떤걸로 싸워?,연인과 보통 뭘로 싸워?,1
사랑꾼,하 사랑꾼이구만,1
멋진 삶을 살고 싶어,멋지게 살고 싶었는데,1
한달동안 대답이 없는게 아직도 생각하면 비참한데,한달이 넘었지만,0
친구들이 브라이덜샤워해준대,친구들이 브라이덜샤워해준대,1
전여친은 남자가 벌써 생겼네,절대 사과 안하는 여자친구,0
괜찮은게 아닌가봐,괴로워,1
정규직 가즈아,정규직 될 수 있을까,1
이별이 아닌 사별,이별이.아픈것도 슬픈것도,0
프로포즈 받았어,프로포즈 곧 받을 거 같은데,1
축구 시청 중,축구 동영상 시청 중,1
짝남 고민 들어줄래요?,짝남 고민 들어줄래요?,1
짝녀한테 고백했는데 짝녀가 오해하게 해서 너무 미안하다네요.,짝녀한테 고백했는데 짝녀가 오해하게 해서 너무 미안하다네요.,1
장거리 연애하면 보통 몇일에 한번 만나?,장거리 연애하면 보통 몇일에 한번 만나?,1
돈이 엄떠,돈 어디갔지,1
미친듯이 덥다,더워더워,1
분식 먹고 싶아.,김떡순 먹고 싶어.,1
혹시 그런 날 없나?,혼자 사랑하고 혼자 이별하고,0
헤어지고 얼마 안됐는데 썸타는 거 가능?,헤어지고 얼마 안됐는데 썸타는 거 가능?,1
여자친구가 담배를 피는게 싫어.,여자친구가 담배를 피는게 싫어.,1
여사친이랑 연락이 끊기지 않고 너무 잘되는데 그린라이트일까?,여사친이랑 연락이 너무 잘되는데 그린라이트일까?,1
기차 타고 여행 가고 싶어,기차여행 가고 싶어,1
롱패딩 필요할까,롱패딩 살까,1
짝사랑 중인데 이 세상에 나만 힘든 것 같아.,짝사랑 중인데 이 세상에 나만 힘든 것 같아.,1
외롭지만 혼자 걸을수 있어_조성모,욕까지 먹었는데 정이 안 떨어져,0
배고파서 자다 깼어,배고파서 일어났어,1
지금 연락해도 돼?,지금 연락해도 돼?,1
으아 떨려,떨리나봐,1
앞으로 뭐 해먹고 사냐,미래에 대한 고민,1
시간이 약이긴 한가봅니다,시도때도없이 생각나네 그녀가,0
반년만에 연락해봤네,밤만 되면 너무 힘드네.,0
아빠 술 좀 끊으라고 해줘,아빠가 술 너무 많이 먹어,1
기름값 올랐어.,차 기름값이 또 올랐네,1
괜찮을줄 알았는데,구걸하듯 사랑하지 마,0
상사가 미워,상사가 미울 때,1
꿈에서까지 힘들게 하냐,꿈이라는 무방비상태,0
짝남한테 내일 영화보자고 말해도 될까?,짝남한테 내일 영화보자고 말해도 될까?,1
헤어지고서 10개월동안 4번 봤네.,헤어지는거 잘하는사람들 부러워,0
왜 이제 찾는걸까?,왜 이제서야 찾아온거야?,1
앞머리 만들까?,앞머리 내릴까?,1
아 아른거려,아! 어찌해야 되나,0
아이공 허리 아파라,허리 아파,1
취향 좀 존중해줬으면,취향 좀 존중해줬으면,1
너 만든 사람은 누구야?,너는 내 인생에서 죽었다.,0
왜 갈수록 더 생각나지,왜 남자가 여자가 하는 행동을하죠?,0
짱좋아,개좋아,1
그의 환심을 살 수 있을까?,환심을 살 수 있을까?,1
엄마아빠 노후가 걱정돼,부모님 노후가 걱정돼,1
썸녀 태도가 짜증남,썸녀 태도가 짜증남,1
술 먹는데 챙겨주는 짝남 무슨 의미일까요.,이별 왜 찾아오는 것일까?,0
결혼하자고 말할까?,같이 살까?,1
불안해,뭔가 자꾸 불안해,1
나 좋아하는 줄 알았는데.,내 사랑인줄 줄 알았는데.,1
왜 교양도 들어야 해,전공만 듣고 싶다,1
스타트업에 투자하는거 어때?,스타트업에 투자해볼까?,1
내가 참 못난거 같아,친구가 다 떠나서 내가 못났나 싶어,1
재택근무가 더 힘든 거 같아,재택근무 힘들다,1
나라 사랑 큰나무 배지를 신청하고 싶어요,"라디오와 같이 사랑을 끄고 켤수 있다면""",0
반장을 좋아해.,우리 반에 반장을 좋아해.,1
다육이 좀 심어볼까,화분에 뭐 심어볼까,1
이제 겨우 일주일 됐네,이제 나 자신으로 돌아와 아름다워지고 싶어.,0
택시비 너무 비싸,술 먹고 싶어,0
짝녀랑 누나 이름이 똑같애.,짝녀랑 누나 이름이 똑같애.,1
누가 내 욕하는 거 같아,남들이 다 손가락질 하는 거 같아,1
아무래도 헤어져야 할까 봐,아무일도 없었던 것처럼 살고 싶어,0
새벽에 울다지쳐 신천에나와 지금까지있네,새해부터는 당신 생각 안하려 했는데,0
화나서 좀 울었어.,홧김에 짝남한테 고백했다.,0
아직 사귀지도 않는데 의심을 해.,혼자 썸타는 기분이야.,0
좋아하는 사람이 나를 부담스러워해.,좋아하는 사람이 다른 여자 얘기하는게 너무 가슴 아파요.,0
계속 보고 싶어,계속 보고 싶으면 어떡해?,1
남자친구가 말을 예쁘게 해,남자친구가 말 예쁘게 해서 좋아,1
딱 내 취향인데,내 취향인데,1
봄이 왔으면 좋겠어,봄날이 기대돼,1
타로점 봤어,타로 보고 왔어,1
걔랑 같은 반 됐으면 좋겠다,좋아하는 애랑 같은 반 됐으면 좋겠다,1
썸남 만나기로 했는데 치마? 바지?,썸남 만나기로 했는데 뭐 입지?,1
남친 프로필에 내 사진 왜 안올릴까,남친 프사에 내 사진 없어,1
무너진 신뢰 쌓아가기,무서운 감정기복,0
따뜻한 봄이 다시 왔네 ㅎㅎ,딱한번만 생각해보세.,0
나 자체를 사랑해줄 사람이 있을까,나란 사람을 사랑해줄 사람이 있을까,1
싸울 때 이겨낼 수 있는 방법이 있을까?,싸울 때 이기는 방법이 있을까?,1
헤어진 여자친구를 돌아오게 하는 방법!,헤어진 여친 생각나서 노래 해바라기가 생각나네,0
맞춤 정장 했어,맞춤 정장 샀어,1
마음을 보여 주고 싶어.,마음이 보였으면 좋겠어,1
너무 사랑하는데 동거해도될까?,동거해도될까?,1
너가 제일 기뻐해줬을텐데,너무 가슴이 아파,0
잊어보려 하는데.,잊은 줄 알았는데,0
